Feature,Pathway,Importance,Clinical_Relevance
205225_at,Other/Unknown,0.03501256831458743,Further investigation needed
232944_at,Other/Unknown,0.027315418363726314,Further investigation needed
232855_at,Other/Unknown,0.02685397601373921,Further investigation needed
205862_at,Other/Unknown,0.017870852316337706,Further investigation needed
219414_at,Other/Unknown,0.017514074297214677,Further investigation needed
232948_at,Other/Unknown,0.01687475200867246,Further investigation needed
204508_s_at,Other/Unknown,0.015790070036212935,Further investigation needed
203438_at,Other/Unknown,0.014602005506125195,Further investigation needed
219197_s_at,Other/Unknown,0.014408880738212719,Further investigation needed
213712_at,Other/Unknown,0.013548171378953412,Further investigation needed
227966_s_at,Other/Unknown,0.01325177794424081,Further investigation needed
229764_at,Other/Unknown,0.013190191576394816,Further investigation needed
232286_at,Other/Unknown,0.013175307671994575,Further investigation needed
203963_at,Other/Unknown,0.012656761553176132,Further investigation needed
232603_at,Other/Unknown,0.012443149866170624,Further investigation needed
1566880_at,Other/Unknown,0.012066391160792752,Further investigation needed
230163_at,Other/Unknown,0.012063304538179605,Further investigation needed
228241_at,Other/Unknown,0.01182323135495912,Further investigation needed
227550_at,Other/Unknown,0.01169243204594625,Further investigation needed
225996_at,Other/Unknown,0.011310212552328343,Further investigation needed
223062_s_at,Other/Unknown,0.010992957319339651,Further investigation needed
240192_at,Other/Unknown,0.010952951466668786,Further investigation needed
235049_at,Other/Unknown,0.010933584463286492,Further investigation needed
1563367_at,Other/Unknown,0.0107391785794804,Further investigation needed
229580_at,Other/Unknown,0.010649639344338388,Further investigation needed
