Pathway,Feature,Importance,Clinical_Relevance
Other/Unknown,205225_at,0.03501256831458743,Further investigation needed
Other/Unknown,232944_at,0.027315418363726314,Further investigation needed
Other/Unknown,232855_at,0.02685397601373921,Further investigation needed
Other/Unknown,205862_at,0.017870852316337706,Further investigation needed
Other/Unknown,219414_at,0.017514074297214677,Further investigation needed
Other/Unknown,232948_at,0.01687475200867246,Further investigation needed
Other/Unknown,204508_s_at,0.015790070036212935,Further investigation needed
Other/Unknown,203438_at,0.014602005506125195,Further investigation needed
Other/Unknown,219197_s_at,0.014408880738212719,Further investigation needed
Other/Unknown,213712_at,0.013548171378953412,Further investigation needed
Other/Unknown,227966_s_at,0.01325177794424081,Further investigation needed
Other/Unknown,229764_at,0.013190191576394816,Further investigation needed
Other/Unknown,232286_at,0.013175307671994575,Further investigation needed
Other/Unknown,203963_at,0.012656761553176132,Further investigation needed
Other/Unknown,232603_at,0.012443149866170624,Further investigation needed
Other/Unknown,1566880_at,0.012066391160792752,Further investigation needed
Other/Unknown,230163_at,0.012063304538179605,Further investigation needed
Other/Unknown,228241_at,0.01182323135495912,Further investigation needed
Other/Unknown,227550_at,0.01169243204594625,Further investigation needed
Other/Unknown,225996_at,0.011310212552328343,Further investigation needed
Other/Unknown,223062_s_at,0.010992957319339651,Further investigation needed
Other/Unknown,240192_at,0.010952951466668786,Further investigation needed
Other/Unknown,235049_at,0.010933584463286492,Further investigation needed
Other/Unknown,1563367_at,0.0107391785794804,Further investigation needed
Other/Unknown,229580_at,0.010649639344338388,Further investigation needed
